HUBS - HubSpot,HUBS/hubspot
ES - Eversource Energy,ES/eversource-energy
MT - ArcelorMittal,MT/arcelormittal
CMI - Cummins,CMI/cummins
BLL - Ball,BLL/ball
DOCU - DocuSign,DOCU/docusign
WY - Weyerhaeuser,WY/weyerhaeuser
LYB - LyondellBasell Industries,LYB/lyondellbasell-industries
WEC - WEC Energy,WEC/wec-energy
SWK - Stanley Black & Decker,SWK/stanley-black-decker
VLO - Valero Energy,VLO/valero-energy
PCAR - PACCAR,PCAR/paccar
DIA - SPDR Dow Jones Industrial Average ETF,DIA/spdr-dow-jones-industrial-average-etf
EXR - Extra Space Storage Inc,EXR/extra-space-storage-inc
ED - Consolidated Edison Inc,ED/consolidated-edison-inc
LH - Laboratory Of America Holdings,LH/laboratory-of-america-holdings
FITB - Fifth Third Bancorp,FITB/fifth-third-bancorp
PCG - Pacific Gas & Electric,PCG/pacific-gas-electric
MPLX - MPLX LP,MPLX/mplx-lp
DVN - Devon Energy,DVN/devon-energy
WLTW - Willis Towers Watson Public,WLTW/willis-towers-watson-public
LEN.B - Lennar,LEN.B/lennar
AFRM - Affirm Holdings,AFRM/affirm-holdings
RKT - Rocket,RKT/rocket
ON - ON Semiconductor,ON/on-semiconductor
EEM - IShares MSCI Emerging Markets ETF,EEM/ishares-msci-emerging-markets-etf
O - Realty Income,O/realty-income
UMC - United Microelectronics,UMC/united-microelectronics
LVS - Las Vegas Sands,LVS/las-vegas-sands
VFC - V.F,VFC/vf
SGEN - Seagen,SGEN/seagen
LBRDK - Liberty Broadband,LBRDK/liberty-broadband
IAU - IShares Gold Trust,IAU/ishares-gold-trust
LBRDA - Liberty Broadband,LBRDA/liberty-broadband
ORAN - Orange,ORAN/orange
VRSN - VeriSign,VRSN/verisign
BBDO - Banco Bradesco SA,BBDO/banco-bradesco-sa
ETSY - Etsy,ETSY/etsy
BGNE - BeiGene,BGNE/beigene
ABC - AmerisourceBergen,ABC/amerisourcebergen
CDW - CDW,CDW/cdw
FMX - Fomento Economico Mexicano S.A.B De C.V,FMX/fomento-economico-mexicano-sab-de-cv
EXPE - Expedia,EXPE/expedia
VMC - Vulcan Materials,VMC/vulcan-materials
ALB - Albemarle,ALB/albemarle
CERN - Cerner,CERN/cerner
IT - Gartner,IT/gartner
MLM - Martin Marietta Materials,MLM/martin-marietta-materials
FTV - Fortive,FTV/fortive
OXY - Occidental Petroleum,OXY/occidental-petroleum
INVH - Invitation Home,INVH/invitation-home
TSCO - Tractor Supply,TSCO/tractor-supply
LYV - Live Nation Entertainment,LYV/live-nation-entertainment
ZBH - Zimmer Biomet Holdings,ZBH/zimmer-biomet-holdings
EC - Ecopetrol S.A,EC/ecopetrol-sa
GRAB - Grab Holdings,GRAB/grab-holdings
TER - Teradyne,TER/teradyne
GWW - W.W Grainger,GWW/ww-grainger
"TLK - PT Telekomunikasi Indonesia, Tbk","TLK/pt-telekomunikasi-indonesia,-tbk"
MAA - Mid-America Apartment Communities,MAA/mid-america-apartment-communities
HRL - Hormel Foods,HRL/hormel-foods
GRMN - Garmin,GRMN/garmin
FNV - Franco-Nevada,FNV/franco-nevada
GMAB - Genmab,GMAB/genmab
EDR - Endeavors,EDR/endeavors
OKE - ONEOK,OKE/oneok
DOV - Dover,DOV/dover
CNHI - CNH Industrial,CNHI/cnh-industrial
CAJ - Canon,CAJ/canon
ET - Energy Transfer LP,ET/energy-transfer-lp
SWKS - Skyworks Solutions,SWKS/skyworks-solutions
BILL - Bill Holdings,BILL/bill-holdings
EIX - Edison,EIX/edison
SIRI - Sirius XM Holdings,SIRI/sirius-xm-holdings
AVTR - Avantor,AVTR/avantor
MKC - McCormick,MKC/mccormick
CS - Credit Suisse Group,CS/credit-suisse-group
ZI - ZoomInfo Technologies,ZI/zoominfo-technologies
STX - Seagate Technology Holdings,STX/seagate-technology-holdings
SYF - Synchrony Financial,SYF/synchrony-financial
LUV - Southwest Airlines,LUV/southwest-airlines
DIDI - DiDi Global,DIDI/didi-global
PKI - PerkinElmer,PKI/perkinelmer
ENPH - Enphase Energy,ENPH/enphase-energy
PAYC - Paycom Software,PAYC/paycom-software
DAL - Delta Air Lines,DAL/delta-air-lines
IR - Ingersoll Rand,IR/ingersoll-rand
IX - Orix Corp Ads,IX/orix-corp-ads
CHWY - Chewy,CHWY/chewy
BKR - Baker Hughes,BKR/baker-hughes
DRE - Duke Realty,DRE/duke-realty
NTRS - Northern Trust,NTRS/northern-trust
CHD - Church & Dwight,CHD/church-dwight
PINS - Pinterest,PINS/pinterest
CVE - Cenovus Energy Inc,CVE/cenovus-energy-inc
HZNP - Horizon Therapeutics Public,HZNP/horizon-therapeutics-public
STE - STERIS,STE/steris
BBY - Best Buy,BBY/best-buy
RPRX - Royalty Pharma,RPRX/royalty-pharma
SUI - Sun Communities,SUI/sun-communities
TEF - Telefonica SA,TEF/telefonica-sa
MGA - Magna,MGA/magna
URI - United Rentals,URI/united-rentals
RCI - Rogers Communication,RCI/rogers-communication
XLY - Consumer Discretionary Select Sector SPDR ETF,XLY/consumer-discretionary-select-sector-spdr-etf
HIG - Hartford Financial Services,HIG/hartford-financial-services
ARES - Ares Management,ARES/ares-management
PATH - UiPath,PATH/uipath
TW - Tradeweb Markets,TW/tradeweb-markets
RYAAY - Ryanair Holdings,RYAAY/ryanair-holdings
DTE - DTE Energy,DTE/dte-energy
PPL - PPL,PPL/ppl
ESS - Essex Property Trust,ESS/essex-property-trust
HES - Hess,HES/hess
AEE - Ameren,AEE/ameren
TRU - TransUnion,TRU/transunion
WAT - Waters,WAT/waters
BIO - Bio-Rad Laboratories,BIO/bio-rad-laboratories
FTS - Fortis,FTS/fortis
MPWR - Monolithic Power Systems,MPWR/monolithic-power-systems
EXPD - Expeditors Of Washington,EXPD/expeditors-of-washington
FE - FirstEnergy,FE/firstenergy
ONON - On Holding AG,ONON/on-holding-ag
POOL - Pool,POOL/pool
ETR - Entergy,ETR/entergy
VIACA - ViacomCBS,VIACA/viacomcbs
WMG - Warner Music Group,WMG/warner-music-group
HBAN - Huntington Bancshares,HBAN/huntington-bancshares
GNRC - Generac Holdings,GNRC/generac-holdings
TYL - Tyler Technologies,TYL/tyler-technologies
CTLT - Catalent,CTLT/catalent
TRMB - Trimble,TRMB/trimble
ULTA - Ulta Beauty,ULTA/ulta-beauty
K - Kellogg,K/kellogg
YNDX - Yandex,YNDX/yandex
GIB - CGI,GIB/cgi
BIO.B - Bio-Rad Laboratories,BIO.B/bio-rad-laboratories
KEY - KeyCorp,KEY/keycorp
XYL - Xylem,XYL/xylem
JBHT - J.B Hunt Transport Services,JBHT/jb-hunt-transport-services
FOXA - Fox,FOXA/fox
BR - Broadridge Financial Solutions,BR/broadridge-financial-solutions
CLX - Clorox,CLX/clorox
YUMC - Yum China,YUMC/yum-china
DGX - Quest Diagnostics,DGX/quest-diagnostics
MGM - MGM Resorts,MGM/mgm-resorts
COO - Cooper,COO/cooper
SSNC - SS&C Technologies Holdings,SSNC/ss-c-technologies-holdings
TTWO - Take-Two Interactive Software,TTWO/take-two-interactive-software
RF - Regions Financial,RF/regions-financial
RJF - Raymond James Financial,RJF/raymond-james-financial
KMX - CarMax,KMX/carmax
NVR - NVR,NVR/nvr
OWL - Blue Owl Capital,OWL/blue-owl-capital
HPE - Hewlett Packard Enterprise,HPE/hewlett-packard-enterprise
VTR - Ventas,VTR/ventas
CFLT - Confluent,CFLT/confluent
ALNY - Alnylam Pharmaceuticals,ALNY/alnylam-pharmaceuticals
NTAP - NetApp,NTAP/netapp
HAL - Halliburton,HAL/halliburton
WDC - Western Digital,WDC/western-digital
TDY - Teledyne Technologies,TDY/teledyne-technologies
DPZ - Domino's Pizza Inc,DPZ/dominos-pizza-inc
W - Wayfair,W/wayfair
VIAC - ViacomCBS,VIAC/viacomcbs
CFG - Citizens Financial,CFG/citizens-financial
BSBR - Banco Santander Brasil SA,BSBR/banco-santander-brasil-sa
TECH - Bio-Techne Corp,TECH/bio-techne-corp
CCL - Carnival,CCL/carnival
CZR - Caesars Entertainment,CZR/caesars-entertainment
GPC - Genuine Parts,GPC/genuine-parts
FOX - Fox,FOX/fox
BRO - Brown & Brown,BRO/brown-brown
MTB - M&T Bank,MTB/m-t-bank
RCL - Royal Caribbean Cruises,RCL/royal-caribbean-cruises
BURL - Burlington Stores,BURL/burlington-stores
HEI - Heico,HEI/heico
AGR - Avangrid,AGR/avangrid
FANG - Diamondback Energy,FANG/diamondback-energy
XM - Qualtrics,XM/qualtrics
PEAK - Healthpeak Properties,PEAK/healthpeak-properties
SBNY - Signature Bank,SBNY/signature-bank
UI - Ubiquiti,UI/ubiquiti
DRI - Darden Restaurants,DRI/darden-restaurants
CG - Carlyle Group,CG/carlyle-group
TTM - Tata Motors,TTM/tata-motors
NICE - Nice,NICE/nice
WPM - Wheaton Precious Metals,WPM/wheaton-precious-metals
HOLX - Hologic,HOLX/hologic
KB - KB Financial Group Inc,KB/kb-financial-group-inc
PFG - Principal Financial,PFG/principal-financial
AKAM - Akamai Technologies,AKAM/akamai-technologies
CRL - Charles River Laboratories,CRL/charles-river-laboratories
